LT031-0202|Tuoj įjungsiu šviesas, - pažadėjo Vinstonas. - Ženkite vidun, užverkite duris.
LT038-0203|Lyg ir sklido nuo upės, iš dešinės pusės. Jis atsigręžė į vandenį ir išvydo tamsų pavidalą - sparčiai atlekiantį katerį be šviesų.
LT005-0033|Patogumo apibrėžtis
LT034-0124|simbolių, kodų, istorijos, religijos ir meno pasaulio legenda. Jis, be kita ko, yra brangus mano draugas.
LT037-0045|Moteris vėl neramiai atsisuko į Fonseką, kuris už dvidešimties jardų tebekalbėjo telefonu.
LT008-0092|Ryšiui užmegzti reikalinga empatija.
LT026-0062|Matyt, tai nebuvo labai geras restoranas: elitinės Basanavičiaus gatvės vietos
LT037-0025|Profesoriau, kai prisiskambinsiu „Uber“ ir paprašysiu susekti mums reikalingą automobilį, tyrimą teks perleisti vietos valdžiai,
LT027-0117|Padavėjas iš restorano atnešė kibirėlį su ledu ir šampano buteliu. Ant vežimėlio dar buvo didžiulis sidabrinis padėklas su omarais.
LT015-0128|Nes dar turėjau vilties, po velnių.
LT029-0147|į du iš esminių klausimų, susijusių su žmogaus egzistencija.
LT020-0113|ir vakarais vairuodavo Uberį.
LT016-0007|kurie turi slėpti ką nors iš anksčiau buvusio gyvenimo, reikalauja (ir kartais išsireikalauja, ypač kai jau būna atkentėję savo bausmes
LT031-0227|Que rosario tan bonito (koks gražus rožinis), - pasakė apsauginis,
LT024-0049|- Na, gerai, gerai, aš sutinku. Gerai. Bet ten, pavyzdžiui, mano šeima. Pavyzdžiui.
LT034-0138|Lengdonas sukrėstas stebėjo, kaip lūžtančios bangos išskysta ir pasikeičia į vėtrų čaižomą užpustytą negyvenamą tundrą.
LT039-0028|Viskas gerai. Detales aptarsiu kitame kambaryje, kad judu, ponai, galėtumėte netrukdomi bendrauti.
LT014-0202|Ne, ji manęs nepažino. Ji neprisiminė mano vardo.
LT003-0098|žvelgiame po akmenimis, atitraukiame užuolaidas ir baksnojame į neįprastus, nežinomus objektus.
LT016-0050|Ši picerija irgi mažai bendro turėjo su picomis arba bent jau su skaniomis picomis, kaip atrodė iš kažkokio prie gretimo staliuko sėdinčio smulkiai sudėto vyro
LT026-0091|patenkinta savo teisingu spėjimu referavo blynų pardavėja. - Tai tegu guli sau, kol mentai ateis, tik kad man čia neapsimyžtų, pydaras.
LT002-0018|Emocinis marketingas – pardavimo kampanijos „psichologinių procesų“ dalis, naudojama siekiant įveikti bet kokius vartotojo pirkimo prieštaravimus.
LT035-0039|Bet mane įsiutino teisuoliškas jo tonas, ir aš nepaklusau.
LT035-0174|Labas vakaras, bičiuliai, - tirpstant rūkui, maloniai pasisveikino efektingo renginio organizatorius.
LT013-0069|Aš nusiųsiu jam šią knygą, nors jis ir negalės jos perskaityti, kol neišmoks lietuvių kalbos.
LT036-0211|Kas, jeigu man pasiekus Madridą mudu nesutarsime dėl veiksmų plano? - nedrąsiai paklausė Kiovešas.
LT037-0262|Išėję į lauką atsidursite skersgatvyje, - pranešė Vinstonas.
LT036-0304|Apsupę agentą, jie nužvelgė grūdėtą nespalvotą nuotrauką su tuščio skersgatvio ir juodo sedano stogo vaizdais.
LT034-0201|TAIP, profesoriau, - iš aukštybių užgaudė futuristas.
LT029-0056|aiškiai ir skvarbiai it varpo žvangesys. - Mus retai kada konsultuoja mokslo žmonės, o ypač tokie garsūs kaip jūs.
LT024-0161|Čia mano dabar ir skausmas, ir džiaugsmas. Džiaugsmas, nes daug pinigų ir įdomu, išleidžiame pirmuosius lietuviškus vitaminus - jie bus visiems,
LT035-0139|Bet vibracijoms stiprėjant jis suprato, jog žemė išties dreba. Kažkur pievos gelmėje subangavo, o kupolą supurtė gausmas.
LT024-0059|Ir taip, darbas ten man buvo visiškai neįdomus ir visai manęs nedžiugino, aš tik nemaniau, kad turiu teisę į laimę.
LT013-0094|Pakėliau akis ir pasižiūrėjau į viršutinius aplinkinių pastatų aukštus.
LT037-0220|blausiai švytinčio užrašo, kuris ženklino atsarginę laiptinę.
LT006-0080|Jos gali būti elementarios (bendrai paaiškinančios, kas esate ir kokia Jūsų veikla),
LT037-0128|Tai spektaklio dalis. Užšifruota ryšio linija susisieksiu su tarnybine stotimi...
LT031-0011|kuris jungė tūkstantis aštuoni šimtai septyniasdešimt trečiais metais oficialiai suvienytus senovinius Budos ir Pešto miestus.
LT032-0282|Ne, - pripažino Edmondas, - bet ir nemaniau, kad po susitikimo paliks grasinančią žinią balso pašto dėžutėje.
LT038-0231|Tai suvokus, akimoju paaiškėjo ir antroji Edmondo raštelio dalis. E C trys keturi šeši.
LT002-0199|Tačiau visos šios priežastys skamba lėkštai, todėl vartotojai savo emociniams poreikiams tenkinti susikuria logišką pateisinimą.
LT035-0171|Dauguma svečių atsisėdo ir pakreipė galvas ta pačia linkme neabejodami, kad iš miglos tuojau žengs materialus renginio šeimininko pavidalas.
LT036-0306|Suglumęs profesorius palietė telefono ekraną, perbraukė jį pirštų pagalvėlėmis išdidindamas fotografiją, pasilenkė ir įdėmiau apžiūrėjo ženklą.
LT038-0039|Po Franko mirties tūkstantis devyni šimtai septyniasdešimt penktaisiais karalius išvien su aukščiausia valdžia stengėsi,
LT023-0101|arba jis bijo.
LT032-0156|Pirmąjį įspūdį galima padaryti tik kartą, - maloniai atsiliepė Kiršas. - Robertai, kaip aš tavęs pasiilgau. Dėkui, kad atvykai.
LT033-0145|Taip. Jis priešakyje.
LT026-0114|jauni marozai žemomis kaktomis; baisiausios visos Lietuvos šliundros, į kurias kreipti dėmesį galėjo tik Palangoje,
LT015-0035|Tačiau tie žmonės, su kuriais vakar kalbėjau telefonu, skambėjo ir kalbėjo normaliai, o ne kaip iš šalies, kurioje vyksta karas ir revoliucija.
LT024-0131|Aš tylėjau, nes jau neturėjau, ką pasakyti. Fardinas pradėjo kalbėti dabar jau tyliai ir labai ramiai. Aš jaučiausi kaip hipnozės seanse.
LT022-0060|(lietuviškai supratimu) puiki. Prie durų sveikino drožinėti vartai, kur buvo pavaizduotos raganos baisiais, išpuvusiais dantimis,
LT018-0100|O kaip nors negalima ištrinti atminties arba jos dalies? Mačiau filmuose, - pasakiau ir pats supratau, kad nusišneku. Fardinas buvo nežmoniškai kantrus.
LT014-0005|kažkieno telefoną, ne savo.
LT031-0189|Na, toks mano darbas, - atsakė Lengdonas.
LT016-0108|Paspaudžiau jam ranką. Jis skubėjo, bet, matėsi, norėjo būtinai pasisveikinti ir pakalbėti.
LT035-0268|Jis mintyse išgirdo džiugią
LT026-0108|bet kai niekas nekreipdavo dėmesio, toliau prekiavo knygomis, kurių niekas nepirko.
LT027-0057|O klausyk, galiūne tu mano, ugniagesy, - tęsė Aistė, ar tu bent kiek jau pagalvojai, ką mes toliau? Tai yra ką tu toliau? Važiuosi į Angliją laimės
LT018-0056|apie mano darbą, mano buvusią šeimą, mano mėgstamiausius valgius ir gėrimus. Man pradėjo regėtis, kad aš vėl egzistuoju. Aš čia esu vėl.
LT033-0206|Trisdešimt sekundžių, - į mikrofoną švelniai ištarė technikas.
LT035-0261|kur aplink jį supokšėjo į asfaltą karoliukai.
LT037-0201|Agente Fonseka? - vėl pasigirdo apsauginės balsas.
LT016-0164|Bet šiandien nerašė. Nerašė ir vakar. Vadinasi, mes nesikalbėjome. Vadinasi, buvo priežastis.
LT021-0178|Sonatos laikyta ant puodo, kuriame vandenyje šilo mišinukai mažyliui Deimantukui. Deimantuką irgi atėmė socialinės tarnybos.
LT037-0133|tiek žiūrovai įvairiuose pasaulio kampeliuose.
LT032-0290|Jeigu nesusisieksite, mes su kolegomis apsvarstysime galimybę prevenciškai paskelbti apie jūsų atradimus,
LT020-0069|ir kaip daug apie save sužinojau iš interneto.
LT035-0113|Įvairioms mokslo sritims priklausančias sąvokas pakeitė islamo religiniai tekstai.
LT004-0007|Dažniausiai mus motyvuoja geros savijautos ieškojimas.
LT008-0110|Kas geriau, Jūs ar „X Prekės ženklas“?
LT004-0063|(p.s. mes jau tai darome trečius metus)
LT031-0127|Nes, be kita ko, ant gigantiškų drobių, ištiestų scenoje, vartosi trys mėlynais dažais nutepliotos nuogos moterys.
LT036-0035|Iki šiol nenuveikė nieko įsidėmėtino, bet, savaime suprantama, turėjo geidžiamiausio Ispanijos viengungio reputaciją.
LT015-0089|Prie Merkio Kazlausko pašto buvo prisijungta, jo Facebook profilis buvo neišjungtas (greičiausiai gyvena vienas arba neturi ko slėpti,
LT020-0139|kiečiausia Panevėžio mazgotė.
LT011-0006|Renginius, mokymus, naujas paslaugas.
LT002-0012|Širdis ir protas
LT035-0077|Lengdonas klausėsi ir stebėjosi, kaip mikliai Edmondas vaikšto plonu ledu ir peršoka eketes.
LT011-0126|atlikite praktines užduotis, diskutuokite su kolegomis ir aptarkite visus įmanomus jūsų verslo teisingo pozicionavimo būdus.
LT029-0162|per stulbinantį, uoliai suplanuotą renginį.
LT022-0024|kaip debilų transliuojamas ir debilų klausomas „Pūko“ radijas,
LT003-0149|Niujorko universiteto studentas vidutinio dydžio elektronikos prekių parduotuvėje atliko eksperimentą.
LT028-0088|Privažiavęs prie restorano, kur buvo suplanuotas naujųjų vitaminų pristatymas, apie kurį Vainikis sužinojo iš radijo laidos,
LT011-0054|Štai kitas pavyzdys, kuris jau mums tikrovėje labai sėkmingai “konvertavo” ir padėjo iškomunikuoti nemokamos dovanos pasiūlymą tūkstančiams žmonių.
LT035-0251|Agentas skaudamu kūnu vėl trenkėsi į duris,
LT003-0011|Laisvės – poreikis nepriklausomybei ir spontaniškumui.
LT020-0014|Bent jau tokiems žmonėms, kaip aš.
LT016-0197|- Sakė, kieme yra durys į rūsį. Tai aš ir ieškau.
LT034-0063|Kiovešas susigūžė matydamas, kaip greitai auga susidomėjimas.
LT032-0317|Bičiuli, kodas be galo paprastas. - Kiršas pamerkė jam akį. - Kam jau kam, o tau tikrai pavyks jį išgliaudyti.
LT005-0011|Turėdami skaitmeninę televiziją, iš karto galite žiūrėti norimą filmą, Jums nebereikia lėkti į parduotuvę, kad nusipirktumėte DVD.
LT007-0012|Tokie apibūdinimai, kaip „labiausiai perkamas“ arba „populiariausia prekė“, pasitarnaus kaip garso takelis su įrašytu kvatojimu ar juoku.
LT013-0199|o kitas buvo turizmo biuras.
LT032-0120|Spėjau, kad juo pasitikėsite labiau, nei tęsiama pietietiška jaunos moters tarsena.
LT006-0042|Nepertraukite prieštaraujančiojo (Jūsų potencialus klientas jausis laisviau, jei leisite jam užbaigti pradėtą klausimą.
LT027-0115|susirišęs, kad nesimatytų mano pavargusio pasididžiavimo, ir bandydamas atrodyti nors kiek padoriau, o ne kaip tik ką išdulkintas laimės kūdikis,
LT013-0159|Tačiau ką žino statybininkai? Todėl ir rašo su klaidomis, kad statybininkai. Jei rašytojai statytų namus, irgi ne kažin ką padarytų.
LT012-0016|Jis - tai naujos kartos lietuviško verslo genijus, kurį aš nepaprastai gerbiu ir laikau savo įkvepėju.
LT030-0064|Taip, - teikėsi atsakyti ji.
LT026-0056|tik smegenis, o ne tuščią kaukolę, kuri net ir po smūgių bus tinkama motociklo šalmui nešioti.
LT034-0086|Ką turite galvoje? - piktai paklausė rabinas. - Anot jūsų, bendradarbis nugalabijo al Fadlą, kad nepasklistų gandas? Kas per absurdas!
LT013-0162|Čia ne sapnas. Čia blogiau. Ramybės jausmas išnyko.
LT025-0002|Į barą įėjo didelis vyras, apsivilkęs džinsais bei striuke, ir džiaugsmingai pamojavo, pamatęs Fardiną. Jie apsikabino kaip seniai vienas kito nematę.
LT028-0099|Išvis kvietimų Zabrazauskas išdalino septynis tūkstančius ir siūlėsi tiems, kas ateis, su jais nusifotografuoti nuogas, jei jie kino teatre nusipirks didelį pakelį spragėsių.
LT012-0061|Devintas. Jeigu jūs parduodate “greito praturtėjimo” ir kitas schemas - NESIREGISTRUOKITE.
LT026-0060|„Deimantas daunas, bliat“), įmynęs į jį, paslydo ir pargriuvo.
LT039-0009|Laimei, vyskupo monologą nutraukė Garsos mobilusis. - Si, dime, - skardžiu tonu prabilo jis, sustodamas tarp princo ir dvasininko.
LT035-0037|bet nieko nežinai apie jos turinį - ypač kai pasirodyti žada garsusis ikonoklastas Edmondas Kiršas.
LT034-0227|Kaip puikiai suprantate, informacijos srautas be galo įvairiapusis ir nesustabdomai veržlus,
LT035-0022|„Išvaduotoją“ - pirmąjį polimerinį ginklą, pagamintą trimačiu spausdintuvu, - ir nuo tada technologija tobulėjo geometrine progresija.
LT036-0196|Guldau galvą, kad jis atlaikys ir tai, net jeigu paviešinsime, ką tiksliai Kiršas išsiaiškino.
LT013-0171|Aš šiek tiek susišneku ir skaitau itališkai, ir čia tikrai ne italų kalba. Tai ir ne rusų, ir ne graikų kalbos, jų kitokios raidės.
LT021-0153|Šalia manęs buvo įsitaisiusi moteris, kurios nepažinojau
LT038-0030|Garsa seniai įsisąmonino, kad tikrąją galią suteikia ne fizinė jėga, o politiniai svertai.
LT031-0077|Manau, - pašaipiai sušnarpštė al Fadlas, - ponas Kiršas nepriklauso ratui žmonių, gebančių išgirsti Dievo balsą.
LT033-0218|Labas vakaras, - prabilo maloniu ir kultūringu balsu su nežymiu ispanišku akcentu. - Aš esu Ambra Vidal.
LT033-0235|Šį vakar: dvidešimtą nulis nulis Vidurio Europos vasaros laiku futuristas Edmondas Kiršas
LT034-0008|Tunelyje nekantraus laukimo gausmas ištirpo iki netikrumu dvelkiančios tylos. Prie užkardos prisiartinusiam Lengdonui
LT016-0158|Sakyti, aš išvis nežinau, kas tu tokia, primink man, kas esi? Dar baisiau.
LT037-0088|Nesijaudink, mano drauge, čia esu dėl kitos priežasties.
LT014-0134|Atrakinau duris ir įėjau vidun. Butas buvo tuščias, kvepėjo švara ir buvo gana šviesu.
LT030-0175|Meldžiuosi balsu... mano oda kvepia tavimi... tariu tavo vardą...
LT033-0050|Neskaitant palankių žvilgsnių, kuriais ją apdovanojo kiti svečiai, baltai apsirengusią gražuolę atidžiai prižiūrėjo du išvaizdūs apsauginiai, nesitraukiantys nuo jos nė per žingsnį.
LT022-0078|net ir tie neatrodė taip baisiai, kaip šie drožinėti siaubo rinkiniai iš medžio.
LT034-0298|Edmondo balsas prityko iki kuždesio:
LT029-0205|Bet dar mažiau kas pajėgtų įtikinti šimtus labai svarbių veikėjų mesti visus darbus ir skristi į susitikimą Šiaurės Ispanijoje.
LT030-0007|Admirolas priklausė ratui laimės kūdikių, iš Viduržemio jūros regiono kilusių vyrų, kuriems senėjimo procesas tapo privalumu, o ne kliuviniu.
LT017-0113|Tau neatrodo labai liūdna, kad aš išeinu. Tau visai neliūdna.
LT029-0208|Kam jau kam, bet Edmondui niekuomet nestigo savikliovos, pralinksmėjęs pagalvojo jis.
LT037-0121|Taip, darbą baigiau prieš kelias dienas.
LT002-0039|O tai mums nenaudinga.
LT001-0012|Mes netikime greito praturtėjimo schemomis, tik sunkiu ir atkakliu darbu, didžiulės vertės klientams suteikimu, skaidrumu, sąžiningumu ir atsakomybe.
LT013-0113|Jei nežinai, kur esi, prasminga eiti į centrą, o ne tolyn nuo jo, ar ne?
LT004-0060|Žurnalo “Wall Street” atlikto tyrimo metu buvo nustatyta, kad skaičius septyni sulaukia daugiausiai žmonių dėmesio.
LT038-0158|Dėl slaptumo naudoju balso filtrus. Atleiskite už tai, bet netrukus jūs suvoksite mano elgesio motyvus.
LT033-0019|Apieškojęs šventovę, pasidairęs zakristijoje ir net užsukęs į vyskupo asmeninį tualetą, dabar patarnautojas bėgo link administracinio katedros sektoriaus
LT032-0258|Bet kažką pasakė? - Lengdonas vis labiau smalsavo, ką gi Kiršas atskleidė.
LT032-0118|Jūs klausotės numatytojo balso, kuriam pirmenybę teikia pats Edmondas, bet likusieji girdi kitokiais tonais ir skirtingomis kalbomis šnekantį audiogidą.
LT034-0065|al Fadlą bei Valdespiną ir parodė tariamą savo kalbos „juodraštį“. Dabar rabinas įtarė, kad pasaulis išvys lygiai tą pačią pranešimo versiją.
LT033-0162|Du milijonai žmonių?
LT003-0135|Penktas. NEMOKAMOS DOVANOS MYGTUKAS
LT036-0092|Tuojau pat! - į radijo stotelę užbaubė agentas prašydamas, kad vietos policija skubiai suteiktų pagalbą ir aplink muziejų blokuotų kelius.
LT026-0077|Diedas kapitono kepure buvo paklaikęs. Jis tikėjosi, kad visi jam duos kelią, nes lietuviai yra pratę duoti durniams kelią ir paskui stebisi, jog jiems vadovauja durniai;
LT022-0016|negalima kalbėti per daug,
LT022-0077|padengtos apsilupusiais dažais, kuriuos aš mačiau Lietuvos miestų daugiabučių rajonuose,
LT029-0037|Skiriu savo motinai atminti.
LT039-0055|Monika Martin, naujausia ir visų laikų jauniausia rūmų „viešųjų ryšių koordinatorė“, palaikė santykius su žiniasklaida,
LT029-0286|Architektūrinis Lengdono skonis labiau linko į klasikinių stilių muziejus,
LT011-0025|ar tai tikrai įtikins mano potencialius klientus kažką nusipirkti? Ar nebus primityvu?! (juk mes, lietuviai, norim viską “užlankstyti”..).
LT030-0199|Neįtikėtina. - Na, kaip žinote, Edmondas Kiršas yra užkietėjęs meno ir technologijų gerbėjas.
LT037-0249|Ne. Ji turbūt siųsta privačia ryšio linija.
LT029-0179|Žinoma. Robertas Lengdonas. Pašnekovas bemat kilstelėjo akis. - O, atleiskite. Nepažinau jūsų, sere.
LT030-0133|Nejaugi? Jis apsidairė. Juk muziejuje šimtai svečių.
LT028-0154|„Išgalvojau lietų, išgalvojau giedrą, išgalvojau jūrą ir kai ką daugiau“, -
LT036-0078|uniforme militar blanco...
LT037-0233|Mano vertinimais, tokioje situacijoje jis tikriausiai būtų norėjęs, jog pasiektumėte Barseloną, rastumėte slaptažodį ir, kaip buvo numatyta, paskelbtumėte pranešimą.
LT036-0224|Nė vienas nesugeba matyti bendro vaizdo. Vyskupas nuleido ekraną, pasikišo kompiuterį po pažastimi ir nužingsniavo tamsiais šventovės koridoriais.
LT014-0178|- Timas kas, atsiprašau?
LT023-0131|Dar išskirtinis alaus mėgėjų ir žinovų bruožas yra tas, kad jie aršūs ir užgaulūs:
LT008-0002|Kitaip tariant, jie nori būti tikri, kad ištesėsite savo pažadus.
LT035-0007|Švelniai praskyrė angą ir dirstelėjo į kitą pasaulį
LT037-0078|Nusigavęs iki priešakinės kupolo dalies, jis nenoriai nužvelgė ant grindų sudribusį kūną. Švelniai atitraukė apklotą, kuriuo mirusįjį uždengė Ambra.
LT004-0122|„Sugrįžkite dar kartą!“ – kitą kartą mūsų kavinė suteiks Jūsų užsakymui X procentų nuolaidą ar desertą nemokamai.
LT011-0076|Šį pasiūlymą paruošėme taip, kad jis būtų išskirtinis ir niekur nesutinkamas.
LT006-0022|Ar tikrai pirkau tai, ko man reikia?
LT001-0031|Du tūkstančiai penkioliktais metais rudenį Martynas pristatys vieną didžiausių knygų leidybos projektų Lietuvoje, prie kurio slaptai dirbo jau tris metus.
LT030-0058|Nieko sau. O kaip šitas? - jis pirštu bedė į dešiniąją admirolo ranką.
LT032-0217|Aš esu įsibrovėlis, kišantis nosį į svetimus reikalus, ir pasaulio religijoms tikrai nepatiks mano pranešimas.
LT036-0098|Bet Karališkosios sargybos atstovas jau šaukė į kitą kupolo pusę, į nieką konkrečiai nesikreipdamas:
LT013-0058|Pavyzdžiui, jei Algis Ramanauskas yra paminėtas knygoje kaip Algis Ramanauskas,
LT015-0130|Paskutinė - po ko? Viltis tiesiog paprastai ilgai nemiršta.
LT031-0168|kokius nesukietėjusiame drėgname betone lazdele galėtų nubrėžti vaikas. Svečiams vaizdas įspūdžio nedarė.
LT024-0099|Na, jeigu užuodi ką nors daugiau nei tik savo Armani Mania, tai mano yra Upper Ten. Nežinau, ar juos žinai.
LT015-0037|nuo ko nors bėgau, sprukau ir tik neprisimenu paskutinių momentų?
LT037-0024|Automatizada. - Prisijungęs prie automatizuoto meniu sąrašo, jis pirštu bedė į klaviatūrą ir palaukė.
LT018-0070|Todėl šiaip tau reikėtų pratintis prie to, ką gavai, ir nesipriešinti. Nes yra tai, ką gali pakeisti, ir yra tai, ko negali.
LT037-0124|Ambra žinojo, kad Edmondas saugumo sumetimais įkėlė pristatymo duomenis į savo patikimus serverius už muziejaus ribų.
LT039-0013|Garsa užgniaužė įniršį, šaltai iškvėpė ir prisivertė atsakyti tokiu balsu, kuris neišduotų jo nuotaikos.
LT026-0045|šalia pasistatę automobilį angliškais geltonais numeriais ir su vairu dešinėje pusėje.
LT025-0021|į lipti per tvorą besiveržiančius žmones, ir, galų gale, kai buvo labai aiškiai matoma,
LT023-0018|Visai ne todėl. Todėl, kad jos skaitytojos, tos pačios moterėlės, labai nemėgsta užrašytų dialogų.
LT034-0247|Ir šis džiaugsmas, kurį lemia tvarkos įvedimas, skatina žmones rinkti dėliones arba pataisyti ant sienos kreivai kabantį paveikslą.
LT033-0202|Nuotolinių dalyvių skaičius: du milijonai aštuoni šimtai penkiasdešimt septyni tūkstančiai devyni šimtai keturiolika.
LT033-0140|Aš rašau ir muziką, - nuskambėjo Vinstono balsas. - Jeigu sudominau, kreipkitės į Edmondą, ir jis leis jums pasiklausyti kokio nors kūrinio.
LT031-0014|Mintys apie nepaprastą susitikimą su vyskupu Valdespinu, alama Saidų al Fadlu ir futuristu Edmondu Kiršu slėgė rabiną ištisas tris dienas.
LT015-0003|Prisiminiau vakar dieną ir užsimaniau palįsti po antklode ir neišlįsti, kol viskas pasikeis.
LT039-0015|Princas nekantrauja pasimatyti su ja, ir aš užtikrinau doną Chulijaną, kad jo sužadėtinę netrukus pristatysi į Madridą.
