wavs/LT001-0001|﻿Jeigu tokia knyga jau lietuvių būtų buvusi parašyta, tuomet nedrįsčiau.
wavs/LT001-0034|kurioje kalbėjo seras Richardas Bransonas, Fredrik Haren, JAV verslo ir pardavimų guru John Von Achen,
wavs/LT001-0035|“Žydrųjų vandenynų strategija” ekspertas Gabor George Burt, rusų milijardierius ir politinis emigrantas Londone Jevgenijus Čičvarkinas (per trys tūkstančiai dalyvių).
wavs/LT001-0036|Du tūkstančiai keturioliktais metais kartu su Dariumi Jonausku ir partneriais surengė antrąją “Forum One” konferenciją Lietuvoje,
wavs/LT001-0037|kurioje kalbėjo tokios pasaulinės įžymybės, kaip marketingo guru Seth Godin, “Harley-Davidson” marketingo legenda Ken Schmidt,
wavs/LT001-0038|“Idėjų knygos” autorius, kūrybiškumo ekspertas Fredrik Haren ir kultinis Holivudo veiksmo filmų herojus Jean-Claude Van Damme
wavs/LT001-0039|(per keturi tūkstančiai pekni šimtai dalyvių).
wavs/LT001-0040|Du tūkstančiai tryliktais metais kartu su verslo partneriais Dariumi Jonausku ir Vladu Lašu įkūrė ir surengė pirmąją “Forum One” konferenciją Lietuvoje,
wavs/LT001-0041|kurioje kalbėjo “Virgin Group” įkūrėjas, pasaulinė verslo ikona seras Richardas Bransonas,
wavs/LT001-0042|Numeris vienas finansų treneris Europoje Bodo Schafer ir roko grupės “Scorpions” įkūrėjas Rudolf Schenker
wavs/LT001-0043|(per keturi tūkstančiai penki šimtai dalyvių).
wavs/LT001-0044|Du tūkstančiai aštuntais metais, neturėdamas jokio “vardo”, įvaizdžio ir “reikiamų” pažinčių,
wavs/LT001-0045|savarankiškai organizavo “Vadovų Lygos” VIP keliones į užsienį aukščiausio lygio įmonių vadovams ir akcininkams
wavs/LT001-0046|(Hermis Capital, Lifosa, Achema, Bitė ir daugelis kitų).
wavs/LT001-0047|Paprastas, bet efektyvus marketingo eksperimentas internete ir štai - patenkintų klientų būrys,
wavs/LT001-0048|apie kuriuos Martynas iki tol žinojo tik iš verslo lyderių žurnalo “TOP TŪKSTANTIS”.
wavs/LT001-0049|Du tūkstančiai vienuoliktais metais Martynas Šaikus atliko virusinio marketingo eksperimentą:
wavs/LT001-0050|su grupe “So So Bad” sukūrė dainą apie žymiąją JAV atlikėją Lady Gagą - “Lady Gaga Song”.
wavs/LT001-0051|Šios dainos vaizdo klipas “YouTube” portale iki šiol yra peržiūrėtas jau tris šimtus penkiasdešimt tūkstančių kartų.
wavs/LT001-0052|Be to, “iTunes”, “Amazon” ir “Napster” muzikos e-parduotuvėse šią dainą iki šiol nusipirko aštuoni šimtai žmonių
wavs/LT001-0053|(įvertinus faktą, kai tai tebuvo vienkartinis ir trumpalaikis eksperimentas, tiriantis marketingo taktikų veiksmingumą).
wavs/LT001-0054|Šis projektas buvo gausiai nušviestas žiniasklaidos: Alfa LT, Balsas lt, penkiolika min LT, “Laisvalaikio” ir “Vakaro žinių” laikraščiuose.
wavs/LT001-0055|Po šios dainos pasirodymo, grupė pasirašė kontraktą su leidybine firma “Prior Musica”.
wavs/LT001-0056|Du tūkstančiai devintais metais Martynas, kartu su Algirdu Karaliumi įkūrė didžiausią pardavėjų ebendruomenę Lietuvoje -
wavs/LT001-0057|PardavejuKlubas.lt (daugiau kaip šeši tūkstančiai narių).
wavs/LT001-0058|Du tūkstančiai devintais metais Martynas kartu su Algirdu Karaliumi ir Dariumi Jonausku organizavo ir vykdė didžiausio Lietuvoje motyvacinio renginio “Sėkmės Instinktas:
wavs/LT001-0059|pažadink atkaklumo galią” marketingo kampaniją.
wavs/LT001-0060|Rezultatas: Du tūkstančiai keturi šimtai dalyvių
wavs/LT001-0061|(Lietuvos motyvacinių seminarų rekordas).
wavs/LT001-0062|Du tūkstančiai septintais metais Martynas sukūrė elektroninio pašto rinkodaros kampaniją,
wavs/LT001-0063|kurios metu vos per dvyliką dienų išpardavė pirmąjį psichologo daktaro Gedimino Navaičio audio knygos “Sėkmės Formulė” tiražą (penki šimtai vnt.).
wavs/LT001-0064|Du tūkstančiai dešimtais metais Martynas Šaikus sukūrė ir įgyvendino marketingo strategiją Karaliaus knygai “Sėkmės Instinktas”,
wavs/LT001-0065|kurią Lietuvoje dabar jau skaito virš dvidešimt tūkstančių žmonių.
wavs/LT001-0066|Du tūkstančiai vienuoliktais metais Martynas sukūrė milžiniško populiarumo sulaukusią mokymo programą apie internetinį marketingą - “Marketingo Guru:
wavs/LT001-0067|Internetinio Marketingo Formulė”, kurios visos vietos buvo išparduotos vos per septynias prekybos dienas.
wavs/LT001-0068|Brangiems skaitytojams
wavs/LT001-0069|Džiaugiuosi ir dėkoju, kad investavote savo laiką ir užsakėte šią, ko gero pirmą kartą pristatomą lietuvišką knygą apie tai,
wavs/LT001-0070|kaip etiškai kontroliuoti žmonių protą, skatinti juos pirkti daugiau jūsų produktų ir paslaugų
wavs/LT001-0071|(konsultacijų, mokymų, sprendimų, profesinių paslaugų, procedūrų ir kt.), ir, svarbiausia, motyvuoti klientus tai daryti dar dažniau.
wavs/LT001-0072|Ši knyga buvo iš dalies parašyta dar du tūkstančiai vienuoliktais metais ir buvo pasidalinta gana siaurame trijų šimtų žmonių rate.
wavs/LT001-0073|Tačiau praėjus tiek metų, ši knyga ne tik, kad neprarado savo aktualumo, bet ji tapo dar aktualesnė ir svarbesnė, nei bet kada anksčiau.
wavs/LT001-0074|Tai ir nulėmė, kad nusprendžiau ją papildyti, atnaujinti ir vėl perleisti, šiek tiek kitu, švelnesniu pavadinimu
wavs/LT001-0075|(ankstesnis buvo “Proto Kontrolė” :) ir padovanoti ją žmonėms, norintiems geriau įvaldyti pirkimo psichologiją.
wavs/LT001-0076|Didžiulė verslo problema šiandien vis tiek išliko ta pati -
wavs/LT001-0077|tradiciškai skiriama per mažai laiko ir dėmesio tam, kad geriau suprasti savo pirkėjus ir bendrauti su jais jų kalba.
wavs/LT001-0078|Užuot tinkamai ir kruopščiai parengę savo marketingo pranešimus, mes skubame ir pradedame transliuoti pusgaminius,
wavs/LT001-0079|kurie dažnai ne tik nesusilaukia didesnės sėkmės, tačiau gali ir pakenkti - tiesiog atbaidyti tikslinius klientus, kurie gali daugiau nesugrįžti.
wavs/LT001-0080|Kita, dar didesnė problema, kad mes - lietuviai - labai kuklinamės ir nemokame savęs tinkamai pagirti.
wavs/LT001-0081|Mūsų nei mokykloje, nei universitete niekas nemokė, kaip pristatyti save, kaip geriausią savo potencialaus kliento problemų sprendėjo.
wavs/LT001-0082|O tą daryti tiesiog neišvengiamai privalome!
wavs/LT001-0083|(Iki tol, kol už jus tai ims dažniau daryti jūsų patenkinti klientai, būtina patiems nuolat apie save profesionaliai pranešinėti...
wavs/LT001-0084|o kas kitas tai padarys?).
wavs/LT001-0085|Taigi, ką psichologija reiškia marketingui?
wavs/LT001-0086|Nesvarbu koks yra mūsų verslas, norėdami eiti tolyn mes turime suprasti žmonių protą ir kalbėti su jais jų kalba,
wavs/LT001-0087|gebėti juos šiek tiek pakreipti reikiama linkme, kad jie labiau trokštų tapti mūsų klientais.
wavs/LT001-0088|Egzistuoja daugybė impulsų, mygtukų, kuriuos “spaudinėdami” mes galime etiškai, subtiliai nukreipti žmones link mūsų siūlomų veiksmų.
wavs/LT001-0089|Ir ilgainiui tai daryti ypač meistriškai.
wavs/LT001-0090|Noriu pabrėžti, kad aš esu prieš bet kokius negarbingus, neetiškus metodus.
wavs/LT001-0091|Ši knyga ne apie tai.
wavs/LT001-0092|Mūsų, kaip marketingo praktikų, tikslas - nepardavinėti, o padėti klientams nusipirkti.
wavs/LT001-0093|O būtent tai mums ir leis sėkmingai atlikti ši knyga ir joje nagrinėjami psichologiniai mygtukai.
wavs/LT001-0094|Šie mygtukai gali tapti pačiu laiku atrastu raktu į dar didesnius jūsų pardavimus ir pajamų augimą.
wavs/LT001-0095|Taigi, linkiu šią knygą skaityti taip, lyg būtumėte viskuo besidomintis vaikas.
wavs/LT001-0096|Tuomet imkite ir išbandykite čia surašytas rekomendacijas kurdami savo marketingo pranešimus,
wavs/LT002-0001|Nepaisant visko, ką mes žinome: Esame daug imlesni įtikinėjimams, nei manome.
wavs/LT002-0002|Marketingo esmė – padėti perspektyviems pirkėjams priimti teisingus sprendimus – sprendimus pirkti iš Jūsų.
wavs/LT002-0003|Jei suprasite savo klientų emocines priežastis, kuriomis jie pateisina savo sprendimus,
wavs/LT002-0004|tai galėsite efektyviai šiais emociniais mygtukais pasinaudoti visoje savo reklaminėje sklaidoje -
wavs/LT002-0005|baneriuose, Google AdWords ir kitose PPC (pay per click) reklamose,
wavs/LT002-0006|gyvuose pristatymuose, elektroninio pašto rinkodaros kampanijos metu,
wavs/LT002-0007|asmeninių susitikimų metu, interneto svetainėje ir “Facebook” puslapyje, net TV ar radijo reklamose.
wavs/LT002-0008|Todėl dabar pradėkime nuo šaknų, kad padėtume rimtus pagrindus prieš pradedant nagrinėti mygtukus.
wavs/LT002-0009|Šioje dalyje Jūs sužinosite apie:
wavs/LT002-0010|Emocijas – žmonės perka vadovaudamiesi širdimi, o ne protu.
wavs/LT002-0011|Logiką – kaip savo protu mes pateisiname tai, ką giliai širdyje norime daryti.
wavs/LT002-0012|Širdis ir protas
wavs/LT002-0013|Ar Jūsų marketingas nukreiptas į Jūsų potencialių klientų protą, ar į širdį?
wavs/LT002-0014|Jei marketingo medžiaga bei prezentacijos atspindi tik Jūsų produkto savybes, Jūs pralaimėsite dar prieš pradėdamas visą procesą.
wavs/LT002-0015|Todėl, kad... SAVYBĖS apeliuoja į žmogaus LOGIKĄ, NAUDA apeliuoja į žmogaus EMOCIJAS,
wavs/LT002-0016|LOGIKA PATEISINA EMOCIJAS, o būtent EMOCIJOS SKATINA PARDAVIMĄ.
wavs/LT002-0017|EMOCINIS MARKETINGAS
wavs/LT002-0018|Emocinis marketingas – pardavimo kampanijos „psichologinių procesų“ dalis, naudojama siekiant įveikti bet kokius vartotojo pirkimo prieštaravimus.
wavs/LT002-0019|Kaip ir bet kuriame kitame karo lauke, efektyviausi psichologiniai ginklai yra tie, kurie yra mažiausiai pastebimi –
wavs/LT002-0020|slapti veiksmai, kurie neša sėkmę nepriklausomai nei nuo to, kas parduoda, nei nuo parduodamo produkto.
wavs/LT002-0021|Atėjo laikas Jums parodyti, kaip visa tai veikia.
wavs/LT002-0022|Atlikime eksperimentą.
wavs/LT002-0023|Dabar įsivaizduokite save vartotojo vietoje.
wavs/LT002-0024|Ir taip pat įsivaizduokite, jog esate užsiprenumeravę naujienlaiškius keletoje elektroninių parduotuvių.
wavs/LT002-0025|Ir štai vieną rytą jūs atsidarote savo elektroninio pašto dėžutę ir randate ten du laiškus.
wavs/LT002-0026|Dabar perskaitykite žemiau pateiktas dvi formuluotes -
wavs/LT002-0027|laiško temos (Subject) ir laišką pradedančio sakinio, ir nuspręskite, kuris variantas labiau atkreipia jūsų dėmesį.
wavs/LT002-0028|„X prekės ženklo“ juvelyrinių dirbinių valymo komplektas
wavs/LT002-0029|Pirmas sakinys:
wavs/LT002-0030|Ar norite sužinoti, kaip galima senus ir nusidėvėjusius juvelyrinius dirbinius paversti naujais?
wavs/LT002-0031|Antras variantas:
wavs/LT002-0032|Niekam neatiduokite savo senų papuošalų, kol neperskaitysite šio laiško
wavs/LT002-0033|Pirmas sakinys:
wavs/LT002-0034|Sužinokite paslaptį, kaip profesionalūs antikvarinių ir juvelyrinių dirbinių pardavėjai nusidėvėjusius papuošalus paverčia prabangiais,
wavs/LT002-0035|akį traukiančiais juvelyriniais dirbiniais ir iš to uždirba gerus pinigus.
wavs/LT002-0036|Taigi, perskaičius pirmąją laiško temą labai lengva tiesiog ištrinti laišką toliau neskaičius.
wavs/LT002-0037|Todėl, kad tokie laiškų pavadinimai nežadina smalsumo ir neskatina didesnio skaičiaus žmonių atverti laiško.
wavs/LT002-0038|Per dieną žmogus gauna pakankamai didelį kiekį įvairių pranešimų, todėl ilgainiui didžiąją dalį jų ima ignoruoti.
wavs/LT002-0039|O tai mums nenaudinga.
wavs/LT002-0040|Mums būtina atkreipti į save maksimalų dėmesį, kad pajaustume ryškesnį pardavimų padidėjimą.
wavs/LT002-0041|Bet štai, jeigu jau vienas žmogus atvertų tą pirmąjį laišką, tai jį pasitiktų toks sakinys -
wavs/LT002-0042|Ar norite sužinoti, kaip galima senus ir nusidėvėjusius juvelyrinius dirbinius paversti naujais?
wavs/LT002-0043|Tačiau ir čia yra problema, nes į šį klausimą yra labai lengva atsakyti:
wavs/LT002-0044|“Ne, nenoriu nieko sužinoti”, -
wavs/LT002-0045|ir visiems laikams ištrinti šį laišką. Byla baigta. Pardavimo nebus.
wavs/LT002-0046|O štai dabar panagrinėkime antrąjį variantą. Jis yra gerokai stipresnis, įtaigesnis.
wavs/LT002-0047|Pradėkime nuo laiško temos.
wavs/LT002-0048|Ji akivaizdžiai žadina smalsumą, nes yra netradicinė (Niekam neatiduokite savo senų papuošalų, kol neperskaitysite šio laiško).
wavs/LT002-0049|Tai yra tikra proto kontrolė.
wavs/LT002-0050|Žmonės nežino kas jų laukia, bet laiško temoje jie aiškiai mato, kad tai susiję su jų turimais papuošalais.
wavs/LT002-0051|Bet jie nesupranta - kodėl čia jiems neleidžia atiduoti tų senų papuošalų.
wavs/LT002-0052|Ir apskritai - prie ko čia dabar tie papuošalai.
wavs/LT002-0053|Tai šiek tiek trikdo, bet kartu tam tikram laikui “priverčia” žmones galvoti būtent apie senus papuošalus ir domėtis toliau.
wavs/LT002-0054|O tai mums juk ir yra svarbiausia, kad žmogus atvertų laišką ir toliau “bendrautų” su mumis.
wavs/LT002-0055|Taigi, o dabar pereikime prie pirmojo sakinio.
wavs/LT002-0056|Kitaip negu pirmojo varianto sakinys, šis, antrasis, pasižymi trigubu įtaigumu – jis tikrai stiprus.
wavs/LT002-0057|Prisiminkime jį: “Sužinokite paslaptį, kaip profesionalūs antikvarinių ir juvelyrinių dirbinių pardavėjai nusidėvėjusius papuošalus paverčia prabangiais,
wavs/LT002-0058|akį traukiančiais juvelyriniais dirbiniais ir iš to uždirba gerus pinigus.”
wavs/LT002-0059|Taigi, vien šį pirmąjį sakinį sudaro net trys psichologiniai mygtukai:
wavs/LT002-0060|Žodžiais „Sužinokite paslaptį“ sužadinamas poreikis žinoti.
wavs/LT002-0061|Esame labai smalsios būtybės, nuolatos norinčios sužinoti kuo daugiau.
wavs/LT002-0062|Žodis „profesionalūs“ stimuliuoja poreikį pasitikėti.
wavs/LT002-0063|Skeptiškai žvelgiame į tai, ką teigia reklamuojantieji, tačiau pasitikime savo srities profesionalų nuomone.
wavs/LT002-0064|Trečias. Gobšumo poreikis (natūralus instinktas) pateisinamas mintimis, kad, prekiaudami šiuo produktu, galite užsidirbti tiek pat,
wavs/LT002-0065|kaip ir dirbiniais prekiaujantys profesionalūs juvelyrikos ir antikvarinių dirbinių pardavėjai.
wavs/LT002-0066|Kaip pastebite, šis pirmasis sakinys taip stipriai paragina Jūsų smegenis dirbti, kad dar prieš susivokdami, jau “alpstate” nuo susidomėjimo ir skaitote laišką toliau
wavs/LT002-0067|ar spaudžiate pateiktą nuorodą, nekantraudami kuo greičiau sužinoti daugiau informacijos.
wavs/LT002-0068|Žinoma, absoliučiai visur to nepritaikysime,
wavs/LT002-0069|bet tokiam produktui, kaip juvelyrinių dirbinių valymo komplektas, be kurio, švelniai tariant, galėtume išgyventi, reikėtų būtent panašaus tipo pristatymo.
wavs/LT002-0070|Kitu atveju, žmogus pamatęs pasiūlymą pirkti tokį komplektą paprasčiausiai nesuvoks kodėl tai jam gali būti naudinga ir kodėl verta už tai mokėti pinigus.
wavs/LT002-0071|O dabar pereikime prie kito eksperimento.
wavs/LT002-0072|Jums reikės išrinkti geriausią pardavėją.
wavs/LT002-0073|Kiekvienas iš trijų toliau pateiktų pardavėjų pasikvietė potencialius klientus pietauti kavinėje.
wavs/LT002-0074|Visi pardavėjai bando parduoti produktą / paslaugą.
wavs/LT002-0075|Visi mokėsi pagal šią mokymo programą, bet tik vienas jų sėkmingai nusitaiko į emocijas
wavs/LT002-0076|(taip, emocinio marketingo metodai yra labai svarbūs ir aktyviuose pardavimuose).
wavs/LT002-0077|Pabandykite atpažinti pardavėją, kuriam pavyks parduoti savo produktą:
wavs/LT002-0078|“Pardavėjas A” kalba:
wavs/LT002-0079|„Turbūt būtų kvaila sėdint kavinėje kalbėti apie svorio metimą bei sporto klubus. Tačiau, galbūt papietavę,
wavs/LT002-0080|žinoma, jei turėsite laiko, galėtumėte užsukti į sporto klubą ir apsižvalgyti.
wavs/LT002-0081|Klube siūlome didelį įrangos pasirinkimą. Žinoma, treniruotėse reikia daug ir sunkiai dirbti, tačiau rezultatai gali būti tikrai įspūdingi,
wavs/LT002-0082|bet, žinoma, negalime to garantuoti.“
wavs/LT002-0083|“Pardavėjas B” kalba:
wavs/LT002-0084|„Pastebėjau, kad pakeitėte savo užsakymą: vietoje mėsainio su sūriu užsisakėte įprastą mėsainį.
wavs/LT002-0085|Labai šaunu, kad rūpinatės savo sveikata. Mūsų sporto klube matau vis daugiau žmonių, kurie, rūpindamiesi savo širdimi, stengiasi vartoti kuo mažiau pieno produktų.
wavs/LT002-0086|Iš tikrųjų viena iš priežasčių, dėl kurių mūsų klube padaugėjo naujų narių, yra ta, kad žmonės pradeda suvokti, kokį svarbų vaidmenį atlieka sportas,
wavs/LT002-0087|norint išvengti kardiologinių susirgimų.
wavs/LT002-0088|Ir jeigu nuo buvusio mūsų pasiūlymo yra likusių nukainotų narystės paketų, tai dabar pats laikas tapti mūsų klubo nariu.“
wavs/LT002-0089|“Pardavėjas C” kalba:
wavs/LT002-0090|“Dėkoju Jums, kad sutikote susitikti per pietus.
wavs/LT002-0091|Pastaruoju metu taip stipriai stengiamės pastatyti savo klubą ant kojų, kad laiko pavalgyti randu tik susitikdamas su tokiais žmonėmis kaip Jūs.
wavs/LT002-0092|Nenoriu labai gilintis į tai, kas šiuo metu vyksta...
wavs/LT002-0093|Dabar mums svarbu pritraukti kiek įmanoma daugiau narių ir kuo greičiau, todėl šiuo metu galime Jums pasiūlyti nemažai nuolaidų mūsų narystės paketams.“
wavs/LT002-0094|Taigi, kas jūsų manymu galėjo laimėti?
wavs/LT002-0095|Laimėjo – Pardavėjas B. (O kaipgi kitaip!)
wavs/LT002-0096|Pardavėjas C ėjo teisingu keliu. Jis kūrė tarpusavio pasitikėjimą –
wavs/LT002-0097|tai vienas iš svarbiausių emocinio marketingo mygtukų.
wavs/LT002-0098|Pardavėjas pripažino, kad šiuo metu klubas patiria šiokių tokių nesklandumų, nors labai stengiasi išsilaikyti rinkoje.
wavs/LT002-0099|Tačiau atsisakęs paaiškinti tikruosius sunkumus, pardavėjas C prarado pasitikėjimą.
wavs/LT002-0100|Potencialus Pirkėjo C klubo narys sunerimo, kad galbūt klubas neatitiko sveikatos inspekcijos keliamų reikalavimų,
wavs/LT002-0101|turėjo problemų su sporto įranga arba galbūt planuoja dar iki metų pabaigos nutraukti savo veiklą.
wavs/LT002-0102|Vadinasi, tapti klubo nariu tikrai neverta..
wavs/LT002-0103|Pardavimo nebus.
wavs/LT002-0104|Reikėtų aptarti ir Pardavėjo A pasiūlymą...
wavs/LT002-0105|O gal palikime tą apgailėtiną sielą ramybėje.
wavs/LT002-0106|Visa šio pardavėjo prezentacija potencialiam klientui atrodys atstumianti:
wavs/LT002-0107|tai nėra labai tinkamas laikas, mano siūlomas sprendimas yra sunkus, nėra jokių garantijų, kad liksite patenkintas...
wavs/LT002-0108|Taip tikrai nepritrauksime potencialių klientų!
wavs/LT002-0109|KLIENTAS: “KOKIA MAN IŠ TO NAUDA?”
wavs/LT002-0110|Potencialus klientas, svarstydamas pasiūlymą, visų pirma, kelia sau klausimą: „Kokia man iš to nauda?“
wavs/LT002-0111|Nelabai sumanus marketingo specialistas pabandys į šį klausimą atsakyti vardydamas produkto ar paslaugos savybes.
wavs/LT002-0112|Tačiau protingas marketingo specialistas paaiškins, kaip šios savybės pasitarnaus kliento naudai.
wavs/LT002-0113|Savo pardavimo medžiagoje galite išvardyti visas produkto / paslaugos savybes, tačiau šalia būtinai paaiškinkite jų naudą.
wavs/LT002-0114|Būtent taip reikia atsakyti į šį klausimą: „Kokia man iš to nauda?“
wavs/LT002-0115|Laikas išbandyti!
wavs/LT002-0116|Pabandykite produkto aprašymuose atpažinti savybes ir jų teikiamą naudą:
wavs/LT002-0117|„Elektrinis golfo vėžimėlis“ – jokio sunkių krepšių nešiojimo iki pat aštuonioliktostos duobutės.
wavs/LT002-0118|„Super Draudimas“ apsaugos Jus ir Jūsų namus. Nuostolių atlyginimas iki du šimtai penkiasdešimt tūkstančių eurų.
wavs/LT002-0119|Net per uraganą galėsite ramiai miegoti.
wavs/LT002-0120|Pirmajame pavyzdyje savybe laikomas motoriukas, kuris stumia krepšį su golfo lazdomis,
wavs/LT002-0121|tačiau, kai pagaliau svirduliuodami ir pavargę pasiekiate aštuonioliktą duobutę, jo nauda tampa visiškai akivaizdi.
wavs/LT002-0122|Antrojo pavyzdžio savybė akivaizdi – ketvirčio milijono eurų vertas draudimas, o nauda – ramybė.
wavs/LT002-0123|Vartotojai produktus ir paslaugas perka dėl savų priežasčių, ne dėl Jūsų.
wavs/LT002-0124|Todėl kalbėdami turėtumėte sakyti ne „Mes“, o „Jūs“.
wavs/LT002-0125|Pristatydami savo produkto ar paslaugos teikiamą naudą, tekstą formuluokite mąstydami apie Jūsų potencialių klientų emocinius interesus,
wavs/LT002-0126|o ne apie savo interesus.
wavs/LT002-0127|Ar žemiau pateiktuose pavyzdžiuose galite įžvelgti skirtumą?
wavs/LT002-0128|„X prekės ženklas“ parduoda geriausias pasaulyje žoliapjoves.
wavs/LT002-0129|Naudojant „X prekės ženklo“ žoliapjoves, Jūsų veja atrodys daug geriau ir tam prireiks mažiau pastangų.
wavs/LT002-0130|Pirmuoju atveju pranešimas informuoja apie kompaniją: „Mes esame geriausi.“
wavs/LT002-0131|Antruoju atveju pranešimo formuluotė susijusi su vartotoju:
wavs/LT002-0132|„Tam, kad Jūsų veja atrodytų gerai, Jums nebereikės stipriai plušėti.“
wavs/LT002-0133|Antrasis pranešimas yra puikus atsakymas į kiekvienam vartotojui kylantį klausimą: „Kas man iš to?“
wavs/LT002-0134|Dėmesį nuo savęs nukreipkite į kitus.
wavs/LT002-0135|Jei savo dėmesį sutelksite į potencialių klientų interesus, tikrai juos sudominsite.
wavs/LT002-0136|Sudarykite sąrašą ir du kartus jį patikrinkite.
wavs/LT002-0137|Marketingo srityje niekuomet nebūsite per senas tikėti Kalėdų Seneliu ar bent jau pasimokyti iš seno, linksmo nykštuko.
wavs/LT002-0138|Kalėdų Senelis apie savo „klientus“ žino absoliučiai viską.
wavs/LT002-0139|Lygiai taip pat ir Jūs turite žinoti viską apie savo klientus.
wavs/LT002-0140|Duomenų rinkimas (bandymas sužinoti, ko žmonės nori ir kodėl perka) bei tų duomenų naudojimas Jums padės pasiekti tai, ko taip trokštate, –
wavs/LT002-0141|įsišaknyti klientų širdyse ir mintyse.
wavs/LT002-0142|Kaskart pasirodžius Jūsų pasiūlymui, žmonės į Jus turėtų reaguoti kaip į Kalėdų Senelį.
wavs/LT002-0143|Jie turi įsivaizduoti arba, kitaip tariant, svajoti apie tai, kokią nuostabią dovaną jiems pateiksite ir kaip jie dėl jos taps laimingesni.
wavs/LT002-0144|Kiekvieną kartą, pamatę Jūsų prekės ženklą, jie pamanys: Kalėdų Senelis atvyksta į miestą – pas mane!!!
wavs/LT002-0145|Norėdami sėkmingai parduoti, privalote būti susipažinę su įvairiausiais vartotojų jausmais.
